,LakeEmily:dd (ft),TomorrowRiver:92743:depl (cfs),TomorrowRiver:73262:depl (cfs),TomorrowRiver:23983:depl (cfs),TomorrowRiver:70548:depl (cfs),TomorrowRiver:70262:depl (cfs),TomorrowRiver:67401:depl (cfs),TomorrowRiver:986:depl (cfs),TomorrowRiver:68690:depl (cfs),TomorrowRiver:23883:depl (cfs),TomorrowRiver:72737:depl (cfs),TomorrowRiver:24155:depl (cfs),TomorrowRiver:24037:depl (cfs),TomorrowRiver:23978:depl (cfs),TomorrowRiver:91803:depl (cfs),TomorrowRiver:91706:depl (cfs),TomorrowRiver:91411:depl (cfs),TomorrowRiver:92199:depl (cfs),TomorrowRiver:92045:depl (cfs),TomorrowRiver:93141:depl (cfs),TomorrowRiver:91562:depl (cfs),TomorrowRiver:73744:depl (cfs),TomorrowRiver:92299:depl (cfs),TomorrowRiver:24285:depl (cfs),TomorrowRiver:68785:depl (cfs),TomorrowRiver:72422:depl (cfs),TomorrowRiver:815:depl (cfs),TomorrowRiver:23867:depl (cfs),TomorrowRiver:91173:depl (cfs),TomorrowRiver:23993:depl (cfs),TomorrowRiver:23699:depl (cfs),TomorrowRiver:23957:depl (cfs),TomorrowRiver:71916:depl (cfs),TomorrowRiver:23682:depl (cfs),TomorrowRiver:91175:depl (cfs),TomorrowRiver:91072:depl (cfs),TomorrowRiver:91181:depl (cfs),TomorrowRiver:67563:depl (cfs),TomorrowRiver:71998:depl (cfs),TomorrowRiver:70248:depl (cfs),TomorrowRiver:92136:depl (cfs),TomorrowRiver:3719:depl (cfs),TomorrowRiver:91670:depl (cfs),TomorrowRiver:91997:depl (cfs),TomorrowRiver:23926:depl (cfs),TomorrowRiver:68905:depl (cfs),TomorrowRiver:23637:depl (cfs),TomorrowRiver:23698:depl (cfs),TomorrowRiver:23869:depl (cfs),TomorrowRiver:70263:depl (cfs),TomorrowRiver:23979:depl (cfs),TomorrowRiver:23616:depl (cfs),TomorrowRiver:23754:depl (cfs),TomorrowRiver:67329:depl (cfs),TomorrowRiver:23870:depl (cfs),TomorrowRiver:23635:depl (cfs),TomorrowRiver:70881:depl (cfs),TomorrowRiver:24050:depl (cfs),TomorrowRiver:23715:depl (cfs),TomorrowRiver:68917:depl (cfs),TomorrowRiver:1860:depl (cfs),TomorrowRiver:24161:depl (cfs),TomorrowRiver:617:depl (cfs),TomorrowRiver:69289:depl (cfs),TomorrowRiver:73002:depl (cfs),TomorrowRiver:24169:depl (cfs),TomorrowRiver:23907:depl (cfs),TomorrowRiver:69635:depl (cfs),TomorrowRiver:24008:depl (cfs),TomorrowRiver:91924:depl (cfs),TomorrowRiver:92981:depl (cfs),TomorrowRiver:69480:depl (cfs),TomorrowRiver:24132:depl (cfs),TomorrowRiver:23700:depl (cfs),TomorrowRiver:23961:depl (cfs),TomorrowRiver:91161:depl (cfs),TomorrowRiver:23697:depl (cfs),TomorrowRiver:68049:depl (cfs),TomorrowRiver:23863:depl (cfs),TomorrowRiver:73344:depl (cfs),TomorrowRiver:69961:depl (cfs),TomorrowRiver:24017:depl (cfs),TomorrowRiver:23827:depl (cfs),TomorrowRiver:71326:depl (cfs),TomorrowRiver:74131:depl (cfs),TomorrowRiver:24022:depl (cfs),TomorrowRiver:24080:depl (cfs),TomorrowRiver:23846:depl (cfs),TomorrowRiver:23852:depl (cfs),TomorrowRiver:73345:depl (cfs),TomorrowRiver:91169:depl (cfs),TomorrowRiver:23620:depl (cfs),TomorrowRiver:71917:depl (cfs),TomorrowRiver:23868:depl (cfs),TomorrowRiver:69508:depl (cfs),TomorrowRiver:92077:depl (cfs),TomorrowRiver:23949:depl (cfs),TomorrowRiver:24302:depl (cfs),TomorrowRiver:23647:depl (cfs),TomorrowRiver:73346:depl (cfs),TomorrowRiver:1013:depl (cfs),TomorrowRiver:4174:depl (cfs),TomorrowRiver:24059:depl (cfs),TomorrowRiver:24066:depl (cfs),TomorrowRiver:23915:depl (cfs),TomorrowRiver:23826:depl (cfs),TomorrowRiver:23873:depl (cfs),TomorrowRiver:72437:depl (cfs),TomorrowRiver:24216:depl (cfs),TomorrowRiver:3473:depl (cfs),TomorrowRiver:24286:depl (cfs),TomorrowRiver:24294:depl (cfs),TomorrowRiver:73625:depl (cfs),TomorrowRiver:1323:depl (cfs),TomorrowRiver:1302:depl (cfs),TomorrowRiver:70961:depl (cfs),TomorrowRiver:24220:depl (cfs),TomorrowRiver:73347:depl (cfs),TomorrowRiver:70943:depl (cfs),TomorrowRiver:23716:depl (cfs),TomorrowRiver:69693:depl (cfs),TomorrowRiver:69679:depl (cfs),TomorrowRiver:73597:depl (cfs),TomorrowRiver:71990:depl (cfs),TomorrowRiver:92808:depl (cfs),TomorrowRiver:24047:depl (cfs),TomorrowRiver:69576:depl (cfs),TomorrowRiver:23709:depl (cfs),TomorrowRiver:73093:depl (cfs),TomorrowRiver:91808:depl (cfs),TomorrowRiver:92036:depl (cfs),TomorrowRiver:23825:depl (cfs),TomorrowRiver:71960:depl (cfs),TomorrowRiver:84462:depl (cfs),TomorrowRiver:73153:depl (cfs),TomorrowRiver:74477:depl (cfs),TomorrowRiver:24021:depl (cfs),TomorrowRiver:490:depl (cfs),TomorrowRiver:84461:depl (cfs),TomorrowRiver:23614:depl (cfs),TomorrowRiver:74280:depl (cfs),TomorrowRiver:70519:depl (cfs),TomorrowRiver:23924:depl (cfs),TomorrowRiver:24013:depl (cfs),TomorrowRiver:70031:depl (cfs),TomorrowRiver:23944:depl (cfs),TomorrowRiver:92885:depl (cfs),TomorrowRiver:24087:depl (cfs),TomorrowRiver:74478:depl (cfs),TomorrowRiver:70032:depl (cfs),TomorrowRiver:91996:depl (cfs),TomorrowRiver:71199:depl (cfs),TomorrowRiver:69636:depl (cfs),TomorrowRiver:68294:depl (cfs),TomorrowRiver:73372:depl (cfs),TomorrowRiver:873:depl (cfs),TomorrowRiver:72304:depl (cfs),TomorrowRiver:73906:depl (cfs),TomorrowRiver:72713:depl (cfs),TomorrowRiver:58403:depl (cfs),TomorrowRiver:70520:depl (cfs),TomorrowRiver:92696:depl (cfs),TomorrowRiver:70974:depl (cfs),TomorrowRiver:58414:depl (cfs),TomorrowRiver:74193:depl (cfs),TomorrowRiver:72983:depl (cfs),TomorrowRiver:23913:depl (cfs),TomorrowRiver:68238:depl (cfs),TomorrowRiver:90475:depl (cfs),TomorrowRiver:24195:depl (cfs),TomorrowRiver:72183:depl (cfs),TomorrowRiver:69288:depl (cfs),TomorrowRiver:69669:depl (cfs),TomorrowRiver:72436:depl (cfs),TomorrowRiver:74428:depl (cfs),TomorrowRiver:74429:depl (cfs),TomorrowRiver:90149:depl (cfs),TomorrowRiver:70191:depl (cfs),TomorrowRiver:23648:depl (cfs),TomorrowRiver:72301:depl (cfs),TomorrowRiver:24305:depl (cfs),TomorrowRiver:72421:depl (cfs),TomorrowRiver:68689:depl (cfs),TomorrowRiver:69064:depl (cfs),TomorrowRiver:70975:depl (cfs),TomorrowRiver:73624:depl (cfs),TomorrowRiver:73092:depl (cfs),TomorrowRiver:68220:depl (cfs),TomorrowRiver:68221:depl (cfs),TomorrowRiver:68247:depl (cfs),TomorrowRiver:74427:depl (cfs),TomorrowRiver:69595:depl (cfs),TomorrowRiver:91895:depl (cfs),TomorrowRiver:58416:depl (cfs),TomorrowRiver:67922:depl (cfs),TomorrowRiver:74481:depl (cfs),TomorrowRiver:4661:depl (cfs),TomorrowRiver:92724:depl (cfs),TomorrowRiver:602:depl (cfs),TomorrowRiver:603:depl (cfs),TomorrowRiver:68218:depl (cfs),TomorrowRiver:68216:depl (cfs),TomorrowRiver:68219:depl (cfs),TomorrowRiver:90159:depl (cfs),TomorrowRiver:93832:depl (cfs)
92199: existing,,,,,,,,,,,,,,,,,,0.019150253878824103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92045: existing,,,,,,,,,,,,,,,,,,,0.03304677591378846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93141: existing,,,,,,,,,,,,,,,,,,,,0.08315368944112705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91562: existing,,,,,,,,,,,,,,,,,,,,,0.004886302819685644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73744: existing,,,,,,,,,,,,,,,,,,,,,,0.049544421112378056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92299: existing,,,,,,,,,,,,,,,,,,,,,,,0.026767127657598755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24285: existing,,,,,,,,,,,,,,,,,,,,,,,,0.0059435693508382015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68785: existing,,,,,,,,,,,,,,,,,,,,,,,,,0.03637746302762215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72422: existing,,,,,,,,,,,,,,,,,,,,,,,,,,0.019905056873316562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08270597500134347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23867: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01142482331150027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91173: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01085867186056784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23993: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08895202499244881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23699: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009789027275588058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23957: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012815503827771621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71916: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006627698797477828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23682: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08229197866154303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91175: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015165457272018623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91072: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01779775188054103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91181: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03423816463660595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67563: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05016331182707645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71998: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03899093185443969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70248: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05888812606527638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92136: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007569765162951381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06700859943820858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91670: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02086860138439678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91997: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020905523270296572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23926: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012666788032924509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68905: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07784267569202663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23637: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012158111342470773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23698: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018130400690845122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23869: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010290794233001777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70263: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02964416409791587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23979: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011150056544969839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23616: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04516470912391807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23754: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013466682321434886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67329: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03813063124720539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23870: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009814303149358328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23635: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0142475226606993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70881: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002062196821086942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24050: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024613375718495145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23715: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006166979309315184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68917: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03269287480058375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006354049648113078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24161: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026814491893893677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015667429541636302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
